match_id,season,date,round,referee,stadium,attendance,home_team,away_team,home_score,away_score,home_formation,away_formation,home_possession,away_possession,home_shots,away_shots,home_shots_on_target,away_shots_on_target,home_shots_off_target,away_shots_off_target,home_shots_blocked,away_shots_blocked,home_corners,away_corners,home_fouls,away_fouls,home_yellow,away_yellow,home_red,away_red,home_xg,away_xg,home_offsides,away_offsides,home_passes,away_passes,home_passes_accurate,away_passes_accurate,home_tackles,away_tackles,home_tackles_won,away_tackles_won,home_saves,away_saves,home_clearances,away_clearances,home_big_chances_missed,away_big_chances_missed,home_aerials_won,away_aerials_won,status
l1_championship_match_73177,2025,2025-10-05,7,Willy DELAJOD,STADE LOUIS-II,8306,AS Monaco,OGC Nice,2,2,4231,343,61,39,20,9,6,2,10,2,4,5,6,7,10,9,1,2,,1,3.005,1.15,4,2,527,272,448,186,12,14,6,9,,4,15,37,2,,22,14,full_time
l1_championship_match_73179,2025,2025-10-05,7,Guillaume PARADIS,STADE DE LA MEINAU,22171,Strasbourg,Angers SCO,5,0,3421,433,63,37,18,5,12,1,3,1,3,3,2,5,12,11,2,2,,,4.8,0.321,2,2,781,400,706,310,21,20,10,12,1,7,14,14,3,,10,10,full_time
l1_championship_match_73186,2025,2025-10-17,8,Clément TURPIN,PARC DES PRINCES,47754,PSG,Strasbourg,3,3,433,3421,67,33,21,12,9,7,7,3,5,2,4,1,12,15,2,1,,,2.684,2.342,,,783,309,717,257,21,20,13,5,4,6,12,19,2,2,7,6,full_time
l1_championship_match_73180,2025,2025-10-18,8,Jérémy STINAT,STADE RAYMOND-KOPA,13423,Angers SCO,AS Monaco,1,1,4231,3421,44,56,16,11,3,4,4,4,9,3,10,3,15,14,2,2,,,1.775,1.884,,,397,568,327,488,18,18,15,9,3,2,17,22,2,1,9,15,full_time
l1_championship_match_73183,2025,2025-10-18,8,Bastien DECHEPY,ORANGE VÉLODROME,64869,OM,Havre AC,6,2,4231,442,68,32,18,8,11,3,4,3,3,2,2,1,17,13,2,2,,1,4.194,0.483,3,3,684,238,640,181,9,10,3,5,1,5,12,23,2,1,11,11,full_time
l1_championship_match_73185,2025,2025-10-18,8,Jérôme BRISARD,ALLIANZ RIVIERA,24122,OGC Nice,OL,3,2,343,4231,38,62,5,29,4,7,1,7,,15,1,16,10,11,1,2,,,0.599,3.393,2,,252,544,192,477,15,20,8,12,5,1,60,15,,3,15,13,full_time
l1_championship_match_73181,2025,2025-10-19,8,Gaël ANGOULA,STADE BOLLAERT-DELELIS,33773,RC Lens,Paris FC,2,1,3421,433,44,56,11,9,3,3,4,2,4,4,11,3,11,8,2,2,,,1.633,0.517,2,2,402,567,327,479,24,13,18,5,2,1,18,35,2,,15,16,full_time
l1_championship_match_73182,2025,2025-10-19,8,Marc BOLLENGIER,STADE YVES-ALLAINMAT,16607,FC Lorient,Brest,3,3,3421,4231,50,50,12,8,7,4,3,3,2,1,5,2,13,16,3,2,,,1.242,1.586,4,,390,405,321,340,11,21,10,10,2,4,22,24,2,,21,18,full_time
l1_championship_match_73184,2025,2025-10-19,8,Thomas LEONARD,STADE DE LA BEAUJOIRE-LOUIS FONTENEAU,29845,FC Nantes,LOSC,0,2,433,4231,39,61,8,23,3,5,3,10,2,8,5,9,12,15,1,4,,,0.454,2.601,,,295,531,220,460,17,14,9,11,3,2,33,38,1,3,8,15,full_time
l1_championship_match_73187,2025,2025-10-19,8,Eric WATTELLIER,ROAZHON PARK,27148,Rennes,AJ Auxerre,2,2,352,541,51,49,19,7,7,4,6,2,6,1,6,3,11,15,1,3,,,2.027,1.513,2,2,418,395,338,308,23,20,15,14,2,5,15,21,1,1,15,12,full_time
l1_championship_match_73188,2025,2025-10-19,8,François LETEXIER,STADIUM,26078,Toulouse FC,FC Metz,4,0,343,3421,39,61,16,2,7,2,6,,3,,5,1,14,11,2,1,,1,2.688,0.082,1,1,325,608,272,545,13,19,9,12,2,3,16,17,1,,11,9,full_time
l1_championship_match_73196,2025,2025-10-24,9,Ruddy BUQUET,STADE JEAN BOUIN,17522,Paris FC,FC Nantes,1,2,4231,433,62,38,14,11,3,3,7,5,4,3,8,2,10,13,3,2,,,1.202,0.857,9,1,548,270,487,205,18,12,13,6,1,2,11,43,1,1,12,17,full_time
l1_championship_match_73191,2025,2025-10-25,9,Jérémie PIGNARD,STADE FRANCIS-LE BLÉ,14978,Brest,PSG,0,3,4231,433,30,70,8,18,2,8,5,8,1,2,2,7,10,10,1,1,,,1.705,2.104,2,2,259,808,191,751,26,6,13,4,5,2,21,14,3,3,5,8,full_time
l1_championship_match_73192,2025,2025-10-25,9,Stéphanie FRAPPART,STADE BOLLAERT-DELELIS,38223,RC Lens,OM,2,1,3421,3421,36,64,8,17,5,3,3,6,,8,4,8,12,9,3,3,,,1.803,0.695,3,1,339,762,271,690,19,16,9,9,2,4,36,17,2,,16,8,full_time
l1_championship_match_73195,2025,2025-10-25,9,Guillaume PARADIS,STADE LOUIS-II,7086,AS Monaco,Toulouse FC,1,0,3421,3421,54,46,14,10,5,2,4,5,5,3,2,5,15,18,3,4,,,3.263,0.679,,,418,350,322,246,23,14,14,11,2,4,39,12,5,,21,22,full_time
l1_championship_match_73189,2025,2025-10-26,9,Benoît BASTIEN,STADE RAYMOND-KOPA,11682,Angers SCO,FC Lorient,2,0,4231,3421,42,58,7,23,4,4,1,8,2,11,1,6,14,6,1,,,,0.925,1.992,,1,380,616,317,547,16,17,8,12,4,2,26,11,1,2,12,11,full_time
l1_championship_match_73190,2025,2025-10-26,9,Hakim BEN EL HADJ,STADE DE L'ABBÉ-DESCHAMPS,16729,AJ Auxerre,Havre AC,0,1,3421,4132,50,50,14,9,3,4,4,4,7,1,13,5,21,12,2,2,,,0.654,0.935,,2,341,349,280,287,8,18,6,13,3,3,22,38,,3,14,16,full_time
l1_championship_match_73193,2025,2025-10-26,9,Benoît MILLOT,DECATHLON ARENA – STADE PIERRE-MAUROY,42089,LOSC,FC Metz,6,1,4231,433,59,41,23,10,12,4,8,5,3,1,7,8,18,12,3,2,,,2.917,1.287,1,,552,317,479,249,20,9,12,6,3,6,15,23,4,1,17,9,full_time
l1_championship_match_73194,2025,2025-10-26,9,Eric WATTELLIER,GROUPAMA STADIUM,49058,OL,Strasbourg,2,1,433,352,48,52,8,7,3,2,2,3,3,2,4,2,15,19,,4,,1,1.674,0.487,2,1,385,434,316,365,15,8,10,5,1,2,13,18,2,,4,9,full_time
l1_championship_match_73197,2025,2025-10-26,9,Marc BOLLENGIER,ROAZHON PARK,27658,Rennes,OGC Nice,1,2,442,3412,56,44,19,8,7,3,5,3,7,2,7,3,13,22,5,2,,,1.735,0.729,3,2,480,349,422,271,13,14,6,10,1,6,16,44,1,1,13,11,full_time
