match_id,date,round,referee,home_team,away_team,home_score,away_score,home_xg,away_xg,home_shots,away_shots,home_shots_on_target,away_shots_on_target,home_corners,away_corners,home_fouls,away_fouls,home_yellow,away_yellow,home_red,away_red,home_possession,away_possession,attendance
8138,25/10/2025 15:00,"13. kolo, Základní část | sobota 25/10/2025, 15:00 | Na Julisce |",M. Radina,FK Dukla Praha,1.FC Slovácko,1,0,0.32,1.14,4,15,2,2,2,6,9,7,1,1,,,42,58,
8139,26/10/2025 13:00,"13. kolo, Základní část | neděle 26/10/2025, 13:00 | Andrův stadión |",D. Starý,SK Sigma Olomouc,SK Slavia Praha,0,0,0.26,1.02,4,10,0,4,6,14,10,12,3,1,,,39,61,
8140,25/10/2025 18:00,"13. kolo, Základní část | sobota 25/10/2025, 18:00 | Stadión U Nisy |",J. Beneš,FC Slovan Liberec,FK Jablonec,0,2,0.43,1.58,9,10,1,5,2,5,25,11,4,3,,,40,60,
8141,28/10/2025 17:00,"13. kolo, Základní část | úterý 28/10/2025, 17:00 | epet ARENA |",L. Nehasil,AC Sparta Praha,Bohemians Praha 1905,2,1,2.44,0.55,21,10,3,3,6,1,8,16,0,1,,,67,33,
8142,25/10/2025 15:00,"13. kolo, Základní část | sobota 25/10/2025, 15:00 | Letná |",O. Pechanec,FC Zlín,FK Pardubice,2,2,1.35,1.71,9,7,3,5,2,8,13,20,1,3,,,44,56,
8143,26/10/2025 18:30,"13. kolo, Základní část | neděle 26/10/2025, 18:30 | Doosan Aréna |",J. Všetečka,FC Viktoria Plzeň,FC Baník Ostrava,2,0,1.55,1.28,13,13,6,6,2,3,9,18,3,3,,,48,52,
8144,25/10/2025 15:00,"13. kolo, Základní část | sobota 25/10/2025, 15:00 | Malšovická aréna |",J. Wulkan,FC Hradec Králové,FK Teplice,0,0,0.77,0.86,12,10,6,3,5,3,12,11,0,2,,,63,37,
8145,25/10/2025 15:00,"13. kolo, Základní část | sobota 25/10/2025, 15:00 | LOKOTRANS ARÉNA |",J. Petřík,FK Mladá Boleslav,MFK Karviná,2,4,1.87,1.92,13,20,4,7,1,8,6,21,2,1,,,50,51,
8146,01/11/2025 15:00,"14. kolo, Základní část | sobota 01/11/2025, 15:00 | Stadion Arnošta Košťála |",J. Beneš,FK Pardubice,FK Dukla Praha,1,1,1.18,1.23,16,9,4,6,6,3,12,9,1,1,1,0,54,46,
8147,02/11/2025 13:00,"14. kolo, Základní část | neděle 02/11/2025, 13:00 | LOKOTRANS ARÉNA |",L. Nehasil,FK Mladá Boleslav,SK Sigma Olomouc,1,4,1.3,1.56,21,10,6,5,4,3,9,14,1,2,,,62,38,
